arena_no,title_zh,title_en,champion_zh,champion_en,verification_status_zh,verification_status_en,highlights_zh,highlights_en,industry_zh,industry_en,category_zh,category_en,speed_zh,speed_en,quality_zh,quality_en,security_zh,security_en,cost_zh,cost_en,challenger_zh,challenger_en
1,智能调研报告生成,Enterprise-Level Intelligent Research Report Generation System Demo,私部署版：Claude Code + GLM 4.7 + Metaso,Private Deployment: Claude Code + GLM 4.7 + Metaso,已验证,Verified,一周构建1个包含资料搜集、知识整合、报告生成功能的智能调研系统Demo,"Build an intelligent research system demo with data collection, knowledge integration, and report generation in one week","信息技术,金融贸易,科研教育","Information Technology, Finance & Trade, Science & Education","服务,运营,管理","Service, Operations, Management",一周,One Week,较高,Relatively High,较高,Relatively High,较优,Optimal,私部署版：Claude Code +Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Metaso,Private Deployment: Claude Code + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Metaso
2,业务看板搭建,Business Dashboard & Website Demo,云端版：Lovable + GLM 4.7 + Claude Code,Cloud Version: Lovable + GLM 4.7 + Claude Code,已验证,Verified,0技术门槛1-2日内搭建出1个有基础互动能力的业务看板或网站Demo,Build a business dashboard or website demo with basic interactivity in 1-2 days with zero technical threshold,通用,General,"服务,运营,营销","Service, Operations, Marketing",1~2天,1-2 Days,很高,Very High,较低,Relatively Low,较优,Optimal,云端版：Lovable + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Claude Code,Cloud Version: Lovable + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Claude Code
3,文档审核与风控,Document Review & Risk Control Demo,私部署版：LangChain + GLM 4.7 + Pydantic + unstructured + Faiss,Private Deployment: LangChain + GLM 4.7 + Pydantic + unstructured + Faiss,已验证,Verified,一周构建1个完整性检查与风险评估的文档解析系统Demo,Build a document parsing system demo with completeness checks and risk assessment in one week,"信息技术,金融贸易,能源制造,行政管理","Information Technology, Finance & Trade, Energy & Manufacturing, Administration","风控,管理,运营","Risk Control, Management, Operations",一周,One Week,较高,Relatively High,较高,Relatively High,较优,Optimal,私部署版：LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,Private Deployment: LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Pydantic + unstructured + Faiss
4,企业演示视频,Enterprise Demo Video,私部署版：Claude Code + GLM 4.7 + FFmpeg + FunASR + PaddleSpeech,Private Deployment: Claude Code + GLM 4.7 + FFmpeg + FunASR + PaddleSpeech,已验证,Verified,最快2.5日内生成1个企业级产品或功能简要演示视频,Generate an enterprise-level product or feature demo video in as fast as 2.5 days,"信息技术,金融贸易,科研教育","Information Technology, Finance & Trade, Science & Education","服务,营销","Service, Marketing",1~2天,1-2 Days,中等,Medium,较高,Relatively High,较优,Optimal,私部署版：Claude Code + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + FFmpeg + FunASR + PaddleSpeech,Private Deployment: Claude Code + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + FFmpeg + FunASR + PaddleSpeech
5,儿童教育趣味应用,Educational App for Children Demo,私部署版：BISHENG + GLM 4.7,Private Deployment: BISHENG + GLM 4.7,已验证,Verified,一周搭建一个儿童教育应用Demo,Build a children’s educational app demo in one week,"科研教育,文化体育","Science & Education, Culture & Sports",服务,Service,一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,私部署版：BISHENG + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5,Private Deployment: BISHENG + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5
6,长时间序列预测系统,Long-Term Time Series Forecasting System Demo (Energy),私部署版：Autogluon + Neuralforecast + EMTSF,Private Deployment: Autogluon + Neuralforecast + EMTSF,已验证,Verified,一周用低代码快速构建并验证一个面向能源领域的长时间序列预测系统Demo,Rapidly build and verify a low-code long-term time-series forecasting demo for the energy sector in one week,能源制造,Energy & Manufacturing,"运营,风控","Operations, Risk Control",一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,寻找攻擂者,Looking for Challengers
7,智能文档翻译系统,Intelligent Document Translation System Demo,私部署版：Gemini CLI + Gemini 3 Pro,Private Deployment: Gemini CLI + Gemini 3 Pro,已验证,Verified,一周快速构建1个智能文档翻译Demo,Rapidly build an intelligent document translation demo in one week,通用,General,"服务,运营,管理","Service, Operations, Management",一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,寻找攻擂者,Looking for Challengers
8,智能合同法审系统,Intelligent Contract Legal Review System Demo,私部署版：BISHENG,Private Deployment: BISHENG,验证中,In Verification,一天搭建出基于要素抽取与跨合同规则校验、可配置与溯源的智能合同法审系统Demo,"Build an intelligent contract legal review demo with element extraction, cross-contract rule checks, configurability, and traceability in one day",金融贸易,Finance & Trade,风控,Risk Control,1~2天,1-2 Days,中等,Medium,较高,Relatively High,较优,Optimal,寻找攻擂者,Looking for Challengers
9,通用目标检测系统,Universal Object Detection System Demo,私部署版：Ultralytics YOLO （YOLO 11）+ Triton + Perf Analyzer,Private Deployment: Ultralytics YOLO (YOLO 11)+ Triton + Perf Analyzer,验证中,In Verification,一周构建1个高精度、含数据流闭环、具备自进化能力的通用目标检测系统Demo,Build a high-precision universal object detection demo with closed-loop data flow and self-evolution capability in one week,"信息技术,能源制造,农林牧渔","Information Technology, Energy & Manufacturing, Agriculture, Forestry, Animal Husbandry & Fishery","运营,管理,风控","Operations, Management, Risk Control",一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,寻找攻擂者,Looking for Challengers
10,SQL语言智能生成,Universal Practice of SQL Language Intelligent Generation (NL2SQL),私部署版：XiYan-SQL（QwenCoder-32B-2504）,Private Deployment: XiYan-SQL(QwenCoder-32B-2504),验证中,In Verification,快速搭建一个大模型，通过对话生成SQL脚本,Rapidly build a large model that generates SQL scripts via conversation,信息技术,Information Technology,服务,Service,一周,One Week,较高,Relatively High,较高,Relatively High,中等,Medium,寻找攻擂者,Looking for Challengers
11,功能推荐助手,Feature Recommendation Assistant Demo,私部署版：Coze + GLM 4.7,Private Deployment: Coze + GLM 4.7,验证中,In Verification,一周基于低代码构建一个具备主动追问与推荐能力的对话式助手Demo,Build a low-code conversational assistant demo with active follow-up and recommendation capability in one week,"信息技术,科研教育","Information Technology, Science & Education","服务,运营","Service, Operations",一周,One Week,较低,Relatively Low,较高,Relatively High,较优,Optimal,私部署版：Coze + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5,Private Deployment: Coze + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5
12,智能信贷报告生成系统,Intelligent Credit Report Generation System Demo,私部署版：LangChain + GLM 4.7,Private Deployment: LangChain + GLM 4.7,验证中,In Verification,一周低代码构建具备多源数据整合、合规校验、信贷报告一键生成能力的银行智能信贷系统Demo,"Build a low-code banking intelligent credit demo with multi-source data integration, compliance checks, and one-click credit report generation in one week",金融贸易,Finance & Trade,"服务,运营","Service, Operations",一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,私部署版：LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,Private Deployment: LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Pydantic + unstructured + Faiss
13,单条产业链图谱,Single Industrial Chain Graph,私部署版：LangChain + GLM 4.7,Private Deployment: LangChain + GLM 4.7,验证中,In Verification,一周低代码完成单条全国产业链图谱全流程构建,Complete full-process construction of a single national industrial-chain graph with low code in one week,"金融贸易,能源制造","Finance & Trade, Energy & Manufacturing","服务,运营","Service, Operations",一周,One Week,中等,Medium,较高,Relatively High,较优,Optimal,私部署版：LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,Private Deployment: LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5 + Pydantic + unstructured + Faiss
